,name,surname
0,Bobby,Riggs
2,Martina,Hingis
3,Mirjana,Lucic
4,Justine,Henin
5,Kerry Anne,Guse
6,Jolene,Watanabe
7,Karina,Habsudova
8,Silvija,Talaja
9,Alicia,Molik
10,Tamarine,Tanasugarn
11,Rita,Grande
12,Katarina,Srebotnik
13,Jana,Nejedly
14,Angelica,Gavaldon
15,Tzipi,Obziler
16,Petra,Mandula
17,Sandrine,Testud
18,Arantxa,Sanchez Vicario
19,Julia,Abe
20,Alexandra,Fusai
21,Lisa,Raymond
22,Alexia,Dechaume Balleret
23,Emmanuelle,Gagliardi
24,Bryanne,Stewart
25,Maria,Vento Kabchi
26,Ludmila,Cervanova
27,Florencia,Labat
28,Magui,Serna
29,Maureen,Drake
30,Lisa,Mcshea
31,Miroslava,Vavrinec
32,Meilen,Tu
33,Barbara,Schett
34,Serena,Williams
35,Amanda,Grahame
36,Maria,Sanchez Lorenzo
37,Nicole,Pratt
38,Sabine,Appelmans
39,Annabel,Ellwood
40,Chanda,Rubin
41,Anna,Smashnova
42,Amy,Frazier
43,Els,Callens
44,Virginie,Razzano
45,Denisa,Chladkova
46,Tara,Snyder
47,Meghann,Shaughnessy
48,Pavlina,Nola
49,Elena,Likhovtseva
50,Conchita,Martinez
51,Sandra,Kleinova
52,Irina,Spirlea
53,Olga,Barabanschikova
54,Lubomira,Bacheva
55,Sylvia,Plischke
56,Mariana,Diaz Oliva
57,Jelena,Kostanic Tosic
58,Erika,De Lone
59,Anna,Foldenyi Dicker
60,Ruxandra,Dragomir Ilie
61,Tathiana,Garbin
62,Gala,Leon Garcia
63,Kristina,Brandi
64,Tatiana,Panova
65,Amanda,Coetzer
66,Amelie,Mauresmo
67,Cristina,Torrens Valero
68,Patty,Schnyder
69,Lilia,Osterloh
70,Nadia,Petrova
71,Anne Gaelle,Sidot
72,Lenka,Nemeckova
73,Cara,Black
74,Julie,Pullin
75,Jane,Chi
76,Jing Qian,Yi
77,Laurence,Courtois
78,Jennifer,Capriati
79,Barbara,Schwartz
80,Kim,Clijsters
81,Dominique,Monami
82,Anke,Huber
83,Kristie,Boogert
84,Alexandra,Stevenson
85,Asa,Carlsson
86,Ai,Sugiyama
87,Magdalena,Maleeva
88,Seda,Noorlander
89,Adriana,Gersi
90,Miriam,Oremans
91,Anca,Barna
92,Janet,Lee
93,Sandra,Nacuk
94,Amelie,Cocheteux
95,Barbara,Rittner
96,Linda,Wild
97,Mary,Pierce
98,Nathalie,Tauziat
99,Henrieta,Nagyova
100,Sonya,Jeyaseelan
101,Amanda,Hopmans
102,Jana,Kandarr
103,Melissa,Dowse
104,Evie,Dominikovic
105,Emilie,Loit
106,Rachel,Mcquillan
107,Angeles,Montolio
108,Paola,Suarez
109,Elena,Dementieva
110,Nathalie,Dechy
111,Fabiola,Zuluaga
112,Lina,Krasnoroutskaya
113,Julie,Halard Decugis
114,Anna,Kournikova
115,Patricia,Wartusch
116,Brie,Rippner
117,Natalia,Zvereva
118,Kveta,Peschke
119,Virginia,Ruano Pascual
120,Rita,Kuti Kis
121,Jelena,Dokic
122,Alina,Jidkova
123,Tina,Pisnik
124,Marlene,Weingartner
125,Anne,Kremer
126,Corina,Morariu
127,Marissa,Irvin
128,Sarah,Pitkowski Malcor
129,Lindsay,Davenport
130,Lesley,Turner
131,Dorothy,Whitely
132,Judith,Dibar
133,Kay,Williams
134,Eva,Duldig
135,Kerry,Ballard
136,Lorraine,Coghlan
137,Valerie,Caulley
138,L,Griffiths
139,Sandra,Hole
140,Lita,Liem
141,Beryl,Jenkins
142,Wendy,Gilchrist
143,Loris,Butterfield
144,Kathleen,Harter
145,Margaret,Court
146,Kerry,Harris
147,Cynthia,Doerner
148,Geri,Shepard
149,Marilyn,Tesch
150,Helen,Sheedy
151,Evonne,Goolagong
152,Ada,Bakker
153,Gail,Sherriff
154,Sheila,Washbourne
155,Sandra,Stephen
156,Lexie,Kenny
157,Lynette,Mansfield
158,Lynne,Nette
159,Carol,Sherriff
160,Rosie,Casals
161,Judy,Tegart
162,Janine,Whyte
163,Judith,Salome
164,Helen,Oconnor
165,Joan,Johnson
166,Lany,Kaligis
167,Patricia,Edwards
168,Heather,Mckechnie
169,Karen,Krantzcke
170,Ann,Jenkins
171,Beverley,Rae
172,Janet,Young
173,Caroline,Cooper
174,Kaye,Dening
175,Kerry,Wilkinson
176,Mary Ann,Eisel
177,Kerry,Reid
178,Alison,Mckenzie
179,Sue,Hastings
180,Barbara,Hawcroft
181,Astrid,Suurbeck
182,Margaret,Starr
183,E,Staples
184,Elena,Subirats
185,Helen,Gourlay
186,Lesley,Hunt
187,Yveline,Boy
188,Janine,Murdoch
189,Helen,Amos
190,Denise,Brennan
191,Billie Jean,King
192,Frances,Luff
193,Helen,Kayser
194,Ann,Jones
195,Francoise,Durr
196,Helen,Rush
197,Kerryl,Chute
198,Pamela,Brand
199,Caroline,Langsford
200,Sally,Irvine
201,Norma,Marsh
202,Sharon,Thomson
203,Theresa,Van Haren
204,Vicki,Lancaster Kerr
205,Sandra,Walsham
206,Judy,Harris
207,L,Cameron
208,Cheryl,Norquay
209,Mandy,Morgan
210,Wendy,Turnbull
211,Norma,Eastburn
212,Winnie,Shaw
213,Elizabeth,Allan
214,Jan,Lehane
215,Christina,Sandberg
216,Susan,Alexander
217,Janet,Fallis
218,Adrienne,Avis
219,Helen,Taylor
220,Patricia,Coleman
221,Patti,Hogan
222,Dianne,Fromholtz
223,Anne,Coleman
224,Sharon,Walsh Pete
225,Kati,Athorne
226,Helen,Worland
227,Mona,Guerrant
228,Diane,James
229,Olga,Morozova
230,Robyn,Knobel
231,Patricia,Billing
232,Brenda,Dart
233,Ann,Lebedeff
234,Chris,Matison
235,Pam,Whytcross
236,Maureen,Mccalman
237,Patricia,King
238,Virginia,Wade
239,Nathalie,Fuchs
240,Kathy,Walker
241,Eugenia,Birioukova
242,Duk Hee,Lee
243,Helen,Young
244,Glynis,Coles
245,Moira,Whitely
246,Soon Oh,Lee
247,Leslie,Walker
248,Dorte,Ekner
249,Marion,Proisy
250,Joan,Walker
251,Lindsay,Blachford
252,Kazuko,Sawamatsu
253,Monique,Van Haver
254,Kiyoko,Nomura
255,Michele,Gurdal
256,Lesley,Charles
257,Chris,Oneil
258,Helen,Crozier
259,Jeong Soon,Yang
260,Chris,Evert
261,Katerleen,Szeman
262,Toshiko,Sade
263,Jenny,Walker
264,Janet,Newberry
265,Helena,Anliot
266,Lindsey,Beaven
267,Sue,Barker
268,Isabelle,Larsson
269,Frances,Candy
270,Jill,Schwikert
271,Nellemieke,Brouwer
272,Margareta,Strandberg
273,Brenda,Dale
274,Nerida,Gregory
275,Julie,Heldman
276,Ann,Kiyomura Hayashi
277,J D,Griffiths
278,Anneloes,Schothurst
279,Sally,Arnott
280,Gail,Williams
281,Joy,Schwikert
282,Jackie,Fayter
283,Jenny,Dimond
284,Pam,Teeguarden
285,Nora,Blom
286,Mimi,Wikstedt
287,Peggy,Michel
288,Miki,Yokobori
289,Sue,Mappin
290,Chris,Cerato
291,Deborah,Fiuza
292,Dianne,Evers
293,Vivicca,Andersson
294,Martina,Navratilova
295,Gwen,Stirton
296,Ai,Iida
297,Belinda,Thompson
298,Natasha,Chmyreva
299,Laura,Du Pont
300,Kaye,Hallam
301,Sally,Greer
302,Lois,Raymond
303,Linda,Mottram
304,Julie,Staines
305,Cheree,Walker
306,Carol,Draper
307,Jan,Wilton
308,Kerry,Neill
309,Kym,Ruddell
310,Merrilyn,Robinson
311,Julie,Hanrahan
312,Cecilia,Martinez
313,Frederique,Thibault
314,Lotta,Stenberg
315,Brigitte,Simon Glinel
316,Nina,Bohm
317,Heidi,Eisterlehner
318,Helga,Masthoff
319,Michelle,Tyler
320,Cathy,Griffiths
321,Renata,Tomanova
322,Elisabeth,Ekblom
323,Karen,Gulley
324,Rene,Blount
325,Beth,Norton
326,Leanne,Harrison Austin
327,Naoko,Sato
328,Birgitte,Hermansen
329,Patricia,Bostrom
330,Mary,Sawyer
331,Sue,Saliba
332,Kim,Sands
333,Amanda,Tobin
334,Betsy,Nagelsen
335,Sabina,Simmonds
336,Judy,Chaloner
337,Keryn,Pratt
338,Virginia,Ruzici
339,Elizabeth,Little
340,Linda,Cassell
341,Marcella,Mesker
342,Jutta,Diesslin
343,Chris,Newton
344,Susan,Leo
345,Barbara,Jordan
346,Brenda,Catton
347,Anne,Minter
348,Bernadette,Randall
349,Hana,Mandlikova
350,Diane,Morrison
351,Felicia,Hutnick
352,Lindsay,Morse
353,Greer,Stevens
354,Lele,Forood
355,Claudia,Kohde Kilsch
356,Diane,Desfor
357,Betty,Stove
358,Rosalyn,Fairbank
359,Marcie,Louie
360,Christiane,Jolissaint
361,Pam,Shriver
362,Marie,Pinterova
363,Liz,Smylie
364,Hana,Strachonova
365,Barbara,Hallquist
366,Tanya,Harford
367,Sylvia,Hanika
368,Nanette,Schutte
369,Miranda,Yates
370,Candy,Reynolds
371,Marie Christine,Calleja
372,Mima,Jausovec
373,Bettina,Bunge
374,Bonnie,Gadusek
375,Helga,Lutten
376,Barbara,Potter
377,Katerina,Bohmova
378,Helena,Sukova
379,Anne,Smith
380,Paula,Smith
381,Nancy,Yeargin
382,Andrea,Jaeger
383,Isabelle,Villiger
384,Anne,Hobbs
385,Eva,Pfaff
386,Brenda,Remilton
387,Corinne,Vanier
388,Anne,White
389,Leslie,Allen
390,Kathy,Jordan
391,Mary Lou,Daniels
392,Sherry,Acker
393,Jo,Durie
394,Lea,Antonoplis
395,Marjorie,Blackwood
396,Catherine,Tanvier
397,Kim,Steinmetz
398,Tracy,Austin
399,Iva,Budarova
400,Jennifer,Mundel
401,Kate,Latham
402,Manuela,Maleeva Fragniere
403,Wendy,White
404,Andrea,Leand
405,Zina,Garrison
406,Susan,Mascarin
