,fullname,gender,birth,hand,tourney_spectators,won_matches,lost_matches,country,minutes,rank,year,bp_save_ratio,svpt_won_perc,ace,df_perc,matches,best_season,best_year,best_surface,percent_won
0,Aada Inna,F,,U,4059.0,0,1,FIN,,,2021.0,,,,,1,,,,0
1,Aalisha Alexis,F,,U,3237.5,0,2,TTO,,,2019.0,,,,,2,,,,0
2,Aaliya Ebrahim,F,,R,3632.6666666666665,2,7,IND,,,2020.0,,,,,9,Summer,2019.0,Clay,22
3,Aaliyah Hohmann,F,,U,2792.6666666666665,1,2,DEU,,,2021.0,,,,,3,Summer,2021.0,Hard,33
4,Aalyka Ebrahim,F,,U,3207.75,0,4,IND,,,2019.0,,,,,4,,,,0
5,Aanisha Rahul Shewate,F,,U,3184.0,0,1,IND,,,2021.0,,,,,1,,,,0
6,Aanisha Rahul Shewate Aanisha Rahul Shewate,F,,U,2857.0,0,1,IND,,,2019.0,,,,,1,,,,0
7,Aanu Ayegbusi,F,,U,3186.0,3,3,NGR,,,2019.0,,,,,6,Winter,2019.0,Hard,50
8,Aareyalee Amrutsinh Chavan,F,1994.0,R,4444.0,0,1,IND,,,2016.0,,,,,1,,,,0
9,Aaro Pollanen,M,1998.0,R,2704.0,0,1,FIN,121.0,1559.0,2017.0,0.0,0.6404494382022472,8.0,0.11235955056179775,1,,,,0
10,Aaron Addison,M,1996.0,R,5288.181818181818,2,9,AUS,84.9090909090909,1130.9,2020.0,0.5461172665718119,0.5765072016205474,5.636363636363637,0.06069510519057137,11,Winter,2016.0,Hard,18
11,Aashi Kapoor,F,,U,3613.0,0,1,IND,,,2021.0,,,,,1,,,,0
12,Aastha Dargude,F,1998.0,R,3877.3333333333335,1,2,IND,,,2017.0,,,,,3,Winter,2016.0,Hard,33
13,Aayushi Tanwar,F,2000.0,U,3304.5,1,5,IND,,,2021.0,,,,,6,Winter,2021.0,Hard,16
14,Abbie Myers,F,1994.0,R,3378.8407643312103,75,82,AUS,98.0,474.9299363057325,2021.0,0.39697802197802196,0.5209649433543909,2.857142857142857,0.07085743780683824,157,Summer,2019.0,Hard,47
15,Abby Mason,F,,U,3330.0,0,1,NZL,,,2020.0,,,,,1,,,,0
16,Abdulhamid Mubarak,M,1994.0,U,407.0,0,1,KUW,94.0,,2016.0,0.6666666666666666,0.5340909090909091,0.0,0.022727272727272728,1,,,,0
17,Abdullah Maqdas,M,1987.0,U,231.0,0,2,KUW,191.5,1298.0,2017.0,0.5227272727272727,0.5744275582573455,2.5,0.013495440729483282,2,,,,0
18,Abdulrahman Al Janahi,M,1995.0,R,7604.0,0,1,UAE,,,2021.0,0.5384615384615384,0.4067796610169492,1.0,0.01694915254237288,1,,,,0
19,Abdulrahman Alawadhi,M,1992.0,R,407.0,0,1,KUW,112.0,,2016.0,0.2727272727272727,0.41333333333333333,1.0,0.08,1,,,,0
20,Abduvoris Saitmukhamedov,M,1994.0,R,3151.0,0,2,UZB,34.5,2061.0,2016.0,0.16666666666666666,0.4145299145299145,1.5,0.06623931623931624,2,,,,0
21,Abhilasha Mehra,F,1992.0,U,2665.0,0,2,IND,,,2019.0,,,,,2,,,,0
22,Abhinav Sanjeev Shanmugam,M,1999.0,U,3806.5625,8,8,IND,88.66666666666667,1233.0625,2020.0,0.58525988173047,0.602522841302888,6.4,0.05323542690608433,16,Winter,2018.0,Hard,50
23,Abigail Amos,F,,U,2436.3333333333335,1,2,GBR,,,2019.0,,,,,3,Summer,2019.0,Hard,33
24,Abigail Cazarez Gonzalez,F,1999.0,U,4099.0,0,1,MEX,,,2016.0,,,,,1,,,,0
25,Abigail Desiatnikov,F,2001.0,R,2870.5833333333335,7,5,USA,,,2017.0,,,,,12,Summer,2016.0,Clay,58
26,Abigail Forbes,F,2001.0,U,2943.4,1,4,USA,,,2021.0,,,,,5,Summer,2021.0,Hard,20
27,Abigail Rencheli,F,2002.0,R,4060.0,3,3,MDA,,,2020.0,,,,,6,Winter,2020.0,Hard,50
28,Abigail Spears,F,1981.0,R,3228.0,0,9,USA,81.66666666666667,1111.0,2019.0,0.48132700632700637,0.5312721869742671,4.777777777777778,0.04437617908841202,9,,,,0
29,Abigail Tere Apisah,F,1992.0,U,2857.5158730158732,74,52,PNG,87.57142857142857,421.5079365079365,2020.0,0.5766091051805338,0.5602374422443362,1.3571428571428572,0.07036663432836912,126,Winter,2017.0,Hard,58
30,Abigale Cotuna,F,,U,2935.5,0,2,USA,,,2019.0,,,,,2,,,,0
31,Abiodun Oyegoke,F,1986.0,U,3077.5,0,2,NGR,,,2019.0,,,,,2,,,,0
32,Abir El Fahimi,F,1995.0,U,3188.4285714285716,3,11,MAR,35.666666666666664,,2017.0,0.33333333333333337,0.32703488372093026,0.0,0.1763565891472868,14,Summer,2016.0,Clay,21
33,Abla El Kadri,F,2000.0,U,2841.3333333333335,0,3,MAR,,,2017.0,,,,,3,,,,0
34,Abror Isakov,M,1989.0,U,3759.0,1,3,UZB,89.25,,2017.0,0.6664724164724165,0.5624508669687884,0.75,0.021853626735126978,4,Summer,2016.0,Hard,25
35,Adam Bronka,M,1999.0,U,2840.0,0,1,AUS,69.0,,2016.0,0.6,0.5079365079365079,0.0,0.09523809523809523,1,,,,0
36,Adam El Mihdawy,M,1989.0,U,3072.0434782608695,6,17,USA,58.869565217391305,398.1363636363636,2019.0,0.48694916194916205,0.54811222610539,3.260869565217391,0.11906721646231479,23,Summer,2017.0,Clay,26
37,Adam Hornby,M,,U,305.6666666666667,0,3,BAR,75.66666666666667,,2017.0,0.3226010101010101,0.36110791532443626,1.3333333333333333,0.09115182543334867,3,,,,0
38,Adam Jones,M,1998.0,U,2780.0,0,1,GBR,63.0,1714.0,2018.0,0.6,0.6166666666666667,4.0,0.05,1,,,,0
39,Adam Jurajda,M,2003.0,R,4245.0,0,1,CZE,137.0,,2021.0,0.7692307692307693,0.6,4.0,0.08,1,,,,0
40,Adam Majchrowicz,M,1991.0,U,3037.125,0,8,POL,66.875,1297.875,2017.0,0.46075036075036074,0.520467468148579,3.75,0.054418860312261536,8,,,,0
41,Adam Moundir,M,1995.0,R,1334.0,1,3,SUI,55.5,459.5,2020.0,0.25,0.5561118064246975,2.5,0.04005006257822278,4,Winter,2020.0,Clay,25
42,Adam Nagoudi,M,2000.0,U,3375.0,0,1,TUN,66.0,,2018.0,0.5833333333333334,0.46875,1.0,0.09375,1,,,,0
43,Adam Pavlasek,M,1994.0,R,5168.691542288557,109,92,CZE,94.3903743315508,169.1492537313433,2021.0,0.5780628838252677,0.6142935116227428,4.696808510638298,0.033647041087533115,201,Summer,2016.0,Clay,54
44,Adam Taylor,M,,R,3468.5,0,2,GBR,98.5,,2018.0,0.5357142857142857,0.5528089887640449,4.5,0.06942215088282504,2,,,,0
45,Adam Walton,M,1998.0,U,3433.5,0,2,AUS,89.0,,2017.0,0.42063492063492064,0.5368852459016393,1.5,0.06633625619519634,2,,,,0
46,Adel Ismagulova,F,,U,2770.125,3,5,KAZ,,,2019.0,,,,,8,Summer,2019.0,Clay,37
47,Adel Ismagylova,F,,U,3071.6363636363635,3,8,KAZ,,,2021.0,,,,,11,Summer,2021.0,Hard,27
48,Adel Malgonusova,F,,U,3235.0,1,1,KAZ,,,2021.0,,,,,2,Summer,2021.0,Clay,50
49,Adela Dorreova,F,2002.0,U,3805.0,0,1,CZE,,,2017.0,,,,,1,,,,0
50,Adela Jarosova,F,1994.0,R,3131.875,3,5,CZE,,,2019.0,,,,,8,Summer,2018.0,Clay,37
51,Adela Moravcova,F,,U,3004.5833333333335,6,6,CZE,,,2021.0,,,,,12,Summer,2020.0,Clay,50
52,Adelaida Allakhverdiyeva,F,2000.0,U,1015.0,0,1,KAZ,,,2018.0,,,,,1,,,,0
53,Adelchi Virgili,M,1990.0,U,3348.2413793103447,13,16,ITA,90.25925925925925,565.6071428571429,2019.0,0.5058449692070381,0.5922980414072649,3.3793103448275863,0.0705267242037432,29,Summer,2017.0,Clay,44
54,Adele Burato,F,,U,2965.0,13,13,ITA,,,2021.0,,,,,26,Summer,2021.0,Clay,50
55,Adele Diana Biba,F,2000.0,U,3753.0,0,2,CMR,,,2018.0,,,,,2,,,,0
